experiment,status,processed,recall_at_5,recall_at_n,gt_hits_at_5,gt_hits_at_n,candidate_count
E0,ok,1353,1.0,1.0,4.686622320768662,4.698447893569845,4.698447893569845
E1,ok,1353,1.0,1.0,4.686622320768662,4.698447893569845,4.698447893569845
E2,ok,1353,0.22409460458240832,0.22409460458240832,1.1108647450110865,1.1130820399113082,4.698447893569845
E3,ok,1353,0.05846267553584652,0.05846267553584652,0.28898743532889876,0.28898743532889876,5.0
E4,not_applicable,0,,,,,
E5,ok,1353,1.0,1.0,4.686622320768662,4.698447893569845,4.698447893569845
E6,ok,1353,0.05801921655580217,0.05801921655580217,0.286770140428677,0.286770140428677,5.0
E7,ok,1353,0.02305986696230595,0.02305986696230595,0.1123429416112343,0.1123429416112343,5.0
E8,ok,1353,0.05421286031042145,0.1413155949741314,0.270509977827051,1.1825572801182558,25.0
E9,ok,1353,0.05421286031042145,0.1413155949741314,0.270509977827051,1.1825572801182558,25.0
E10,ok,1353,0.05000000000000016,0.05000000000000016,0.24316334072431633,0.24316334072431633,5.0
E11_1,missing,0,,,,,
E11_2,missing,0,,,,,
E11_3,missing,0,,,,,
E11_4,missing,0,,,,,
E11_5/E8,ok,1353,0.05421286031042145,0.1413155949741314,0.270509977827051,1.1825572801182558,25.0
E12_1,missing,0,,,,,
E12_2,missing,0,,,,,
E12_3,missing,0,,,,,
E12_4,missing,0,,,,,
E12_5/E8,ok,1353,0.05421286031042145,0.1413155949741314,0.270509977827051,1.1825572801182558,25.0
E13_1,missing,0,,,,,
E13_2,missing,0,,,,,
